id,city,district,street,longitude,latitude,problem_type,description,detected_at,data_source
PHOTO-IMG-20260830-151025,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:25,手机数据集
PHOTO-IMG-20260830-151028,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:28,手机数据集
PHOTO-IMG-20260830-151030,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:30,手机数据集
PHOTO-IMG-20260830-151032,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:32,手机数据集
PHOTO-IMG-20260830-151033,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:33,手机数据集
PHOTO-IMG-20260830-151036,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:36,手机数据集
PHOTO-IMG-20260830-151037,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:37,手机数据集
PHOTO-IMG-20260830-151039,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:39,手机数据集
PHOTO-IMG-20260830-151041,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:41,手机数据集
PHOTO-IMG-20260830-151044,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:44,手机数据集
PHOTO-IMG-20260830-151045,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:46,手机数据集
PHOTO-IMG-20260830-151048,西宁,待核实,祁连路,101.761138,36.600065,待检查,,2026-08-30 15:10:48,手机数据集
PHOTO-IMG-20260830-152705,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:05,手机数据集
PHOTO-IMG-20260830-152708,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:08,手机数据集
PHOTO-IMG-20260830-152711,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:12,手机数据集
PHOTO-IMG-20260830-152716,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:16,手机数据集
PHOTO-IMG-20260830-152721,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:21,手机数据集
PHOTO-IMG-20260830-152729,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:29,手机数据集
PHOTO-IMG-20260830-152733,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:33,手机数据集
PHOTO-IMG-20260830-152740,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:40,手机数据集
PHOTO-IMG-20260830-152744,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:44,手机数据集
PHOTO-IMG-20260830-152748,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:48,手机数据集
PHOTO-IMG-20260830-152752,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:52,手机数据集
PHOTO-IMG-20260830-152756,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:27:56,手机数据集
PHOTO-IMG-20260830-152803,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:28:03,手机数据集
PHOTO-IMG-20260830-152807,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:28:07,手机数据集
PHOTO-IMG-20260830-152811,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:28:11,手机数据集
PHOTO-IMG-20260830-152830,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:28:30,手机数据集
PHOTO-IMG-20260830-152833,西宁,待核实,祁连路,101.760251,36.597410,待检查,,2026-08-30 15:28:33,手机数据集
PHOTO-IMG-20260830-152935,西宁,待核实,祁连路,101.759771,36.596660,待检查,,2026-08-30 15:29:35,手机数据集
PHOTO-IMG-20260830-152940,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:29:40,手机数据集
PHOTO-IMG-20260830-152944,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:29:44,手机数据集
PHOTO-IMG-20260830-152947,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:29:47,手机数据集
PHOTO-IMG-20260830-152952,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:29:52,手机数据集
PHOTO-IMG-20260830-152958,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:29:58,手机数据集
PHOTO-IMG-20260830-153002,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:02,手机数据集
PHOTO-IMG-20260830-153006,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:06,手机数据集
PHOTO-IMG-20260830-153010,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:10,手机数据集
PHOTO-IMG-20260830-153023,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:23,手机数据集
PHOTO-IMG-20260830-153027,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:27,手机数据集
PHOTO-IMG-20260830-153031,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:31,手机数据集
PHOTO-IMG-20260830-153034,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:34,手机数据集
PHOTO-IMG-20260830-153038,西宁,待核实,祁连路,101.759797,36.596568,待检查,,2026-08-30 15:30:38,手机数据集
PHOTO-IMG-20260830-153235,西宁,待核实,祁连路,101.759588,36.595894,待检查,,2026-08-30 15:32:35,手机数据集
PHOTO-IMG-20260830-153550,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:35:50,手机数据集
PHOTO-IMG-20260830-153553,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:35:53,手机数据集
PHOTO-IMG-20260830-153555,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:35:55,手机数据集
PHOTO-IMG-20260830-153557,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:35:57,手机数据集
PHOTO-IMG-20260830-153600,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:00,手机数据集
PHOTO-IMG-20260830-153603,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:03,手机数据集
PHOTO-IMG-20260830-153606,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:06,手机数据集
PHOTO-IMG-20260830-153612,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:12,手机数据集
PHOTO-IMG-20260830-153616,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:16,手机数据集
PHOTO-IMG-20260830-153620,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:21,手机数据集
PHOTO-IMG-20260830-153624,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:24,手机数据集
PHOTO-IMG-20260830-153629,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:29,手机数据集
PHOTO-IMG-20260830-153632,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:32,手机数据集
PHOTO-IMG-20260830-153636,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:36,手机数据集
PHOTO-IMG-20260830-153639,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:39,手机数据集
PHOTO-IMG-20260830-153642,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:42,手机数据集
PHOTO-IMG-20260830-153645,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:45,手机数据集
PHOTO-IMG-20260830-153648,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:48,手机数据集
PHOTO-IMG-20260830-153651,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:51,手机数据集
PHOTO-IMG-20260830-153655,西宁,待核实,祁连路,101.759135,36.596020,待检查,,2026-08-30 15:36:55,手机数据集
PHOTO-IMG-20260830-153820,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:20,手机数据集
PHOTO-IMG-20260830-153827,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:27,手机数据集
PHOTO-IMG-20260830-153831,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:31,手机数据集
PHOTO-IMG-20260830-153833,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:33,手机数据集
PHOTO-IMG-20260830-153837,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:37,手机数据集
PHOTO-IMG-20260830-153842,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:42,手机数据集
PHOTO-IMG-20260830-153855,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:55,手机数据集
PHOTO-IMG-20260830-153858,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:38:58,手机数据集
PHOTO-IMG-20260830-153901,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:01,手机数据集
PHOTO-IMG-20260830-153906,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:06,手机数据集
PHOTO-IMG-20260830-153910,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:10,手机数据集
PHOTO-IMG-20260830-153915,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:15,手机数据集
PHOTO-IMG-20260830-153919,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:19,手机数据集
PHOTO-IMG-20260830-153924,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:24,手机数据集
PHOTO-IMG-20260830-153935,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:35,手机数据集
PHOTO-IMG-20260830-153938,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:38,手机数据集
PHOTO-IMG-20260830-153941,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:41,手机数据集
PHOTO-IMG-20260830-153944,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:44,手机数据集
PHOTO-IMG-20260830-153946,西宁,待核实,祁连路,101.758049,36.596400,待检查,,2026-08-30 15:39:46,手机数据集
PHOTO-IMG-20260830-154017,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:40:17,手机数据集
PHOTO-IMG-20260830-154049,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:40:49,手机数据集
PHOTO-IMG-20260830-154053,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:40:53,手机数据集
PHOTO-IMG-20260830-154057,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:40:57,手机数据集
PHOTO-IMG-20260830-154101,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:41:01,手机数据集
PHOTO-IMG-20260830-154104,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:41:04,手机数据集
PHOTO-IMG-20260830-154107,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:41:07,手机数据集
PHOTO-IMG-20260830-154110,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:41:10,手机数据集
PHOTO-IMG-20260830-154114,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:41:14,手机数据集
PHOTO-IMG-20260830-154121,西宁,待核实,胜利路,101.757050,36.596617,待检查,,2026-08-30 15:41:21,手机数据集
